Week (ISO),Cases per Week,"Covid Deaths 
per Week",Vaccinations per Week,"All-cause Deaths
per Week"
5,38,0,0,3068
6,48,0,0,2962
7,28,0,0,2934
8,44,0,23510,3048
9,67,0,48357,3069
10,80,0,63242,3117
11,79,0,105645,3084
12,64,0,219401,3038
13,88,0,363458,3094
14,57,0,253898,2954
15,114,1,343066,3251
16,147,0,435024,3242
17,160,0,323943,3272
18,97,0,374987,3362
19,52,0,426113,3362
20,36,0,492230,3358
21,87,0,558665,3507
22,77,0,754823,3371
23,73,0,854646,3556
24,83,0,719658,3487
25,169,0,776966,3451
26,256,0,832521,3463
27,347,1,901419,3539
28,795,3,935237,3585
29,1019,4,1044184,3612
30,1467,6,1154985,3669
31,1946,15,1264318,3473
32,2766,19,1476925,3438
33,4932,23,1757353,3503
34,7228,18,1885723,3417
35,10353,40,1939186,3493
36,11996,52,1840528,3417
37,12024,71,1884052,3491
38,11911,69,2076250,3366
39,13852,103,1961317,3528
40,16061,98,1881421,3402
41,15682,99,2021690,3354
42,15412,106,1775580,3358
43,11911,97,1506866,3332
44,9849,81,1135869,3308
45,9281,67,980879,3183
46,8857,62,845013,3336
47,9537,51,678903,3262
48,9856,58,568082,3259
49,11092,54,545241,3190
50,21798,42,856586,3271
51,51232,44,1189036,3386
52,160779,68,521910,3229
